model,accuracy,precision,recall,specificity,f1,roc_auc,brier_score
AWC,0.6667,0.6,1.0,0.3333,0.75,0.8958,0.1869
KMeans,0.6667,0.6,1.0,0.3333,0.75,0.684,0.3316
FCM,0.6667,0.6,1.0,0.3333,0.75,0.7153,0.2789
