model,accuracy,precision,recall,specificity,f1,roc_auc,brier_score
AWC,0.9167,0.8571,1.0,0.8333,0.9231,0.9514,0.1038
KMeans,0.7917,0.8182,0.75,0.8333,0.7826,0.9167,0.1793
FCM,0.8333,0.8333,0.8333,0.8333,0.8333,0.875,0.1408
